| input_WFE |              r_0.00 |              r_0.04 |              r_0.08 |              r_0.12 |              r_0.16 |               r_0.20 |              r_0.24 |               r_0.28 |              r_0.32 |              r_0.36 |               r_0.40 |
|       0.0 | 0.09467546100956124 | 0.11942200989543601 |   0.124690229106513 | 0.09142162747813153 | 0.08212624696081955 |  0.05297974820599486 | 0.06811383440839691 |  0.05431348190745375 | 0.07269136368263363 | 0.06244516789995009 |  0.05671409401606784 |
|     0.157 | 0.14888080935575027 | 0.14590195752884977 | 0.13380867669648452 | 0.09445178615764696 | 0.08448166951120448 |  0.05612105542593069 | 0.06963695412756614 | 0.055756594552681206 | 0.07234155373195918 | 0.06319483317664053 |  0.05764093029641726 |
|     0.314 |   0.224910060971053 | 0.20903579591182647 | 0.14865966572636544 | 0.11032334592847227 | 0.09197340814003821 | 0.062007767114947626 | 0.07463756715661017 |   0.0636671035629179 | 0.07770020590463106 | 0.06613333825435619 | 0.057221504307446255 |
|     0.471 |  0.2818049836657415 | 0.23997370705565554 | 0.16042534938667066 | 0.12629694513472614 | 0.10559987400724612 |  0.08124583912298489 | 0.08071899790130596 |  0.06932120381105986 | 0.07821634302174245 | 0.06870349910850163 |   0.0629997990035975 |
|     0.628 | 0.32096131209122397 | 0.27518377531578786 | 0.17647446122715113 | 0.15435823433126755 |  0.1254129790976042 |  0.09605541642902218 | 0.09515213411044889 |  0.07879943886559017 |  0.0827834864895574 | 0.07846344267180874 |   0.0692634680299328 |
|     0.785 | 0.35024771220146267 | 0.29049202596940366 | 0.21656436233508317 | 0.18547869059499625 | 0.14017313954176114 |  0.10983053515721437 | 0.10892010538792968 |  0.08806267385662797 | 0.08594576095751202 | 0.08033919250095164 |  0.07402163909182928 |
|     0.942 |  0.3283039121668942 |  0.3133953701139252 | 0.23263948680426091 | 0.19178765292198252 | 0.16748786552502964 |  0.12326980534519766 | 0.11543067815265931 |  0.10272134515226922 | 0.09732641426695227 |  0.0876597970590469 |  0.08196199035561809 |
|     1.099 | 0.32053263357070544 | 0.30646571962993435 |    0.25376940450367 | 0.20804249155779161 | 0.17801122529270713 |  0.13837061716161936 | 0.13495224253141397 |  0.11491774882464868 | 0.10427439389845301 | 0.10505632023412653 |  0.09008363385278463 |
|     1.256 | 0.31786659768847336 |  0.2948191171229786 |  0.2662697812135958 | 0.23511553497930032 | 0.19873951564006548 |  0.15641071876827115 | 0.14531326678809978 |  0.12998337535235774 | 0.10429423521243784 |  0.1110827824941087 |  0.09471261845535019 |
|     1.413 | 0.29992587415838995 |  0.2876769220188306 | 0.26540975452569826 | 0.24418241830174406 |  0.2177561605140366 |  0.17399165845567144 | 0.15296123004087214 |  0.13345394535198427 | 0.12647325379115937 | 0.11660014269738318 |  0.09995064144579904 |
|      1.57 | 0.30017483937939976 |  0.2938266975047341 |  0.2760665668266514 |  0.2522992376405027 | 0.22888379805801895 |  0.18778778498034673 |  0.1721125242359373 |   0.1500013495106432 | 0.13959684923540172 | 0.12342959826322254 |  0.11431275031155687 |
|     1.727 | 0.28587287876894163 |  0.2953680642482711 |  0.2813207872129219 |  0.2663047510502088 | 0.24075574708377417 |  0.20854282717965403 | 0.18464727395573144 |  0.16576291719472844 | 0.14798293146597086 | 0.14162032776894995 |  0.12048032541155168 |
|     1.884 |  0.2938452277860514 |  0.2920992812140088 | 0.27352948450467973 |  0.2708919042178983 | 0.24769662942069987 |  0.21423909121200962 | 0.19097664879603687 |   0.1740093144986684 | 0.16064024454599118 |  0.1461320279864019 |  0.13724180718015971 |
|     2.041 | 0.28585633561400847 |  0.2971528191387328 |  0.2939746268264727 |  0.2693421452414825 | 0.24978616745287022 |  0.21873873812785347 | 0.20819171987756083 |  0.18359537929652958 | 0.16836988105952877 | 0.15507798021872457 |   0.1345437987935143 |
|     2.198 | 0.29238389676565735 |   0.290286386101977 |  0.2821277206745618 |  0.2746352925346239 | 0.26132779120155464 |  0.22861866119012803 | 0.22627159320085802 |  0.19295297252820426 | 0.17837716527307734 | 0.16401249120909459 |  0.14992515670824122 |
|     2.355 | 0.29810471476281714 | 0.28559992751392266 | 0.29299036210162455 |  0.2807742714341376 | 0.26886305747270506 |  0.24253191753647504 |  0.2279941392947801 |  0.20557824716266004 |  0.1940036220388553 | 0.17958013154617686 |  0.16051986213336591 |
