| input_WFE |              r_0.00 |              r_0.04 |              r_0.08 |              r_0.12 |               r_0.16 |              r_0.20 |              r_0.24 |               r_0.28 |              r_0.32 |               r_0.36 |               r_0.40 |
|       0.0 | 0.09467546100956124 | 0.09689856606732998 | 0.06020055531667187 | 0.04838197060003309 | 0.040828803100317286 |  0.0402546885205428 | 0.04076719403481019 | 0.043047844164805456 | 0.04161158872887135 | 0.041950461011513576 | 0.041945847987481265 |
|     0.628 | 0.34595630199548116 |   0.251721309184674 | 0.14895036209087256 | 0.10886338284274459 |  0.08445099038342481 | 0.07299226841670368 | 0.06616701862089526 |   0.0650957237848872 | 0.06236346180208454 |  0.05884851351580368 | 0.059225092365498146 |
|     1.256 | 0.30896947100179833 |  0.2867498921386485 | 0.23925706886964176 |  0.2024132377695703 |   0.1628468541254162 |   0.131020793088142 | 0.10674388461927839 |  0.09371806781248716 | 0.08284508611974918 |  0.07699744646485403 |  0.07207268144394788 |
|     1.884 |  0.2948750232613593 | 0.28892722163350565 |  0.2740939983302886 |  0.2536980934727913 |  0.22646668796444358 | 0.19121979243839765 | 0.15891639885137904 |   0.1370918096961414 | 0.11866466079237606 |  0.10458130393828992 |  0.09232467796132902 |
|     2.512 | 0.29951442888770236 |  0.2988695580207819 | 0.28706642947361605 | 0.28105442687745374 |   0.2562020615328857 | 0.23379114412645538 | 0.20340103762412304 |  0.19003539767967548 |  0.1669760347194445 |  0.14228045558966862 |  0.12463125188321514 |
|      3.14 |  0.3001257046389017 |  0.3045028841545154 |  0.2888400357225796 |  0.2838731010978909 |   0.2699655036999799 | 0.25981572595252056 | 0.24395817918037457 |  0.22341860566294078 | 0.20318940677636413 |  0.17578476068503454 |  0.16120462737991736 |
|     3.768 | 0.30322501950587044 |  0.3004603312299657 | 0.30318029112500233 |  0.2960110143421309 |   0.2860036697721263 |  0.2739040904200657 | 0.26266149110347986 |  0.23845089902845223 | 0.23029187836404302 |  0.20794176020480476 |   0.1933028416274898 |
|     4.396 | 0.30875139236110605 | 0.32107796442531705 |  0.3037444676530556 |  0.3004224347632066 |  0.29828042115466447 | 0.28692828434231993 |  0.2750812936420083 |   0.2593793942674041 | 0.25464474955345445 |  0.23762395806640663 |  0.22150462615794667 |
|     5.024 |  0.3185500428624143 | 0.30654527411624705 |  0.3051138169840162 | 0.31169459476061284 |   0.3017468396780702 |  0.2897107482881844 |  0.2811360984804757 |  0.27246123149492674 |  0.2655046179279992 |   0.2515133033992544 |  0.23476802387969417 |
|     5.652 | 0.31452889256513716 |  0.3029213152539733 |  0.3047511320788337 | 0.30929220140798824 |   0.3066967152692471 |  0.2989758963721275 |  0.2873028936739412 |  0.28413300779009026 | 0.27341522490176934 |  0.25908853237161106 |  0.25181289590746675 |
|      6.28 |  0.3219477183668641 | 0.31987148012399114 |  0.3071472887601214 | 0.31671558974601416 |   0.3107450631157907 |  0.3097756204101418 | 0.29239000328925785 |   0.2909650017083168 | 0.28164713347569587 |  0.27376023767253355 |  0.26588742563047585 |
